source_dataset	dataset	species	section_id	technology	validation_strategy	n_cells_or_bins	n_groups	n_lr_pairs_in_table	random_seed	n_permutations	validation_score_method	expression_potential_stat	expression_potential_power	kernel	score_type	null_model	k	top_k	n_pairs	observed_mean	observed_score	null_mean	null_sd	top_k_enrichment_z	top_k_empirical_pvalue	enrichment_z	empirical_p
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	exp	spatial_ccc_score	matched_random_lr	5000	5000	4021	1.781063841115305e-05	1.781063841115305e-05	1.625362771171431e-05	4.349773928154029e-07	3.579520970873788	0.0009990009990009	3.579520970873788	0.0009990009990009
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	exp	spatial_ccc_score	score_permutation	5000	5000	4021	1.781063841115305e-05	1.781063841115305e-05	1.7810638411153044e-05	6.779654253041699e-21	0.999499874937461	1.0	0.999499874937461	1.0
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	exp	model_weighted_spatial_ccc_score	coordinate_permutation	100	100	100	0.0001175328565788	0.0001175328565788	0.0001136554404213	8.259259717114649e-07	4.694629168063258	0.0009990009990009	4.694629168063258	0.0009990009990009
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	exp	model_weighted_spatial_ccc_score	celltype_permutation	100	100	100	0.0001175328565788	0.0001175328565788	0.0001415721718435	3.707856049516978e-05	-0.6483346425452923	0.7252747252747253	-0.6483346425452923	0.7252747252747253
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	exp	model_weighted_spatial_ccc_score	matched_random_lr	100	100	100	0.0001175328565788	0.0001175328565788	6.184552235338247e-05	6.145053146097809e-06	9.062140375599922	0.0009990009990009	9.062140375599922	0.0009990009990009
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	exp	model_weighted_spatial_ccc_score	score_permutation	100	100	100	0.0001175328565788	0.0001175328565788	8.491888165374794e-05	2.3822418686614697e-06	13.690454925729227	0.0009990009990009	13.690454925729227	0.0009990009990009
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	exp	model_weighted_spatial_ccc_score	coordinate_permutation	500	500	500	7.118770221366496e-05	7.118770221366496e-05	6.89036713689207e-05	4.955000997259981e-07	4.609546690318094	0.0009990009990009	4.609546690318094	0.0009990009990009
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	exp	model_weighted_spatial_ccc_score	celltype_permutation	500	500	500	7.118770221366496e-05	7.118770221366496e-05	8.576247098191214e-05	2.193640832110934e-05	-0.664409987036115	0.7362637362637363	-0.664409987036115	0.7362637362637363
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	exp	model_weighted_spatial_ccc_score	matched_random_lr	500	500	500	7.118770221366496e-05	7.118770221366496e-05	5.0818871453400944e-05	2.313663156549296e-06	8.803714880710222	0.0009990009990009	8.803714880710222	0.0009990009990009
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	exp	model_weighted_spatial_ccc_score	score_permutation	500	500	500	7.118770221366496e-05	7.118770221366496e-05	5.386084879898791e-05	7.654659195856941e-07	22.63569542593765	0.0009990009990009	22.63569542593765	0.0009990009990009
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	exp	model_weighted_spatial_ccc_score	coordinate_permutation	1000	1000	1000	4.695289037043401e-05	4.695289037043401e-05	4.547488247550903e-05	3.260736632074774e-07	4.532742326952491	0.0019980019980019	4.532742326952491	0.0019980019980019
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	exp	model_weighted_spatial_ccc_score	celltype_permutation	1000	1000	1000	4.695289037043401e-05	4.695289037043401e-05	5.595284588346564e-05	1.4276218517800992e-05	-0.6304159257445938	0.7212787212787213	-0.6304159257445938	0.7212787212787213
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	exp	model_weighted_spatial_ccc_score	matched_random_lr	1000	1000	1000	4.695289037043401e-05	4.695289037043401e-05	3.920638336412259e-05	1.4007708937558526e-06	5.530174163985449	0.0009990009990009	5.530174163985449	0.0009990009990009
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	exp	model_weighted_spatial_ccc_score	score_permutation	1000	1000	1000	4.695289037043401e-05	4.695289037043401e-05	3.6242527009291705e-05	3.910056028158729e-07	27.39184115012768	0.0009990009990009	27.39184115012768	0.0009990009990009
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	exp	model_weighted_spatial_ccc_score	coordinate_permutation	5000	5000	4021	1.4237994062049116e-05	1.4237994062049116e-05	1.3800892921850238e-05	9.795028885343924e-08	4.462479338400957	0.0029970029970029	4.462479338400957	0.0029970029970029
